TRIP_ID,TAXI_ID,YEAR,MONTH,WEEK,DAY,HOUR,MIN,WEEKDAY,CALL_TYPE_A,CALL_TYPE_B,CALL_TYPE_C,ORIGIN_CALL,ORIGIN_STAND,MISSING_DATA,TIMESTAMP
T51,20000311,2014,8,33,14,17,44,3,0,1,0,1,1,0,1408038249
T52,20000294,2014,8,33,14,17,54,3,0,1,0,1,1,0,1408038869
T53,20000081,2014,8,33,14,17,55,3,0,1,0,1,1,0,1408038925
T54,20000561,2014,8,33,14,17,49,3,0,1,0,1,1,0,1408038555
T55,20000178,2014,8,33,14,17,50,3,0,1,0,1,1,0,1408038627
T56,20000255,2014,8,33,14,17,54,3,0,1,0,1,1,0,1408038850
T57,20000547,2014,8,33,14,17,46,3,0,1,0,1,1,0,1408038404
T58,20000603,2014,8,33,14,17,54,3,0,1,0,1,1,0,1408038871
T59,20000668,2014,8,33,14,17,7,3,0,0,1,1,1,0,1408036076
T60,20000044,2014,8,33,14,17,50,3,1,0,0,1,1,0,1408038636
T61,20000041,2014,8,33,14,17,56,3,0,1,0,1,1,0,1408038972
T62,20000245,2014,8,33,14,17,57,3,0,0,1,1,1,0,1408039050
T63,20000649,2014,8,33,14,17,55,3,0,0,1,1,1,0,1408038908
T64,20000662,2014,8,33,14,17,54,3,1,0,0,1,1,0,1408038842
T65,20000055,2014,8,33,14,17,54,3,0,1,0,1,1,0,1408038861
T66,20000595,2014,8,33,14,17,45,3,0,1,0,1,1,0,1408038313
T67,20000140,2014,8,33,14,17,53,3,0,1,0,1,1,0,1408038813
T68,20000260,2014,8,33,14,17,33,3,1,0,0,1,1,0,1408037585
T69,20000576,2014,8,33,14,17,49,3,0,0,1,1,1,0,1408038568
T70,20000047,2014,8,33,14,17,58,3,0,1,0,1,1,0,1408039080
T71,20000010,2014,8,33,14,16,2,3,0,0,1,1,1,0,1408032143
T72,20000004,2014,8,33,14,17,32,3,0,0,1,1,1,0,1408037529
T73,20000334,2014,8,33,14,17,57,3,0,1,0,1,1,0,1408039046
T74,20000256,2014,8,33,14,17,40,3,0,0,1,1,1,0,1408038045
T75,20000349,2014,9,40,30,8,12,1,0,1,0,1,1,0,1412064770
T76,20000675,2014,9,40,30,8,26,1,0,0,1,1,1,0,1412065616
T77,20000010,2014,9,40,30,8,29,1,0,1,0,1,1,0,1412065748
T78,20000224,2014,9,40,30,8,20,1,0,0,1,1,1,0,1412065216
T79,20000901,2014,9,40,30,8,26,1,0,0,1,1,1,0,1412065607
T80,20000488,2014,9,40,30,8,7,1,0,0,1,1,1,0,1412064425
T81,20000633,2014,9,40,30,8,21,1,1,0,0,1,1,0,1412065294
T82,20000617,2014,9,40,30,8,25,1,0,1,0,1,1,0,1412065511
T83,20000188,2014,9,40,30,8,17,1,1,0,0,1,1,0,1412065076
T84,20000436,2014,9,40,30,8,5,1,1,0,0,1,1,0,1412064356
T85,20000578,2014,9,40,30,8,23,1,0,1,0,1,1,0,1412065383
T86,20000116,2014,9,40,30,8,19,1,1,0,0,1,1,0,1412065159
T87,20000477,2014,9,40,30,8,17,1,0,0,1,1,1,0,1412065034
T88,20000624,2014,9,40,30,8,20,1,0,0,1,1,1,0,1412065239
T90,20000572,2014,9,40,30,8,15,1,0,1,0,1,1,0,1412064941
T91,20000249,2014,9,40,30,8,17,1,1,0,0,1,1,0,1412065051
T92,20000612,2014,9,40,30,8,10,1,1,0,0,1,1,0,1412064659
T93,20000560,2014,9,40,30,8,17,1,0,0,1,1,1,0,1412065077
T94,20000372,2014,9,40,30,8,19,1,0,0,1,1,1,0,1412065151
T95,20000071,2014,9,40,30,8,22,1,1,0,0,1,1,0,1412065352
T96,20000688,2014,9,40,30,7,31,1,0,1,0,1,1,0,1412062316
T98,20000904,2014,9,40,30,7,53,1,0,0,1,1,1,0,1412063625
T99,20000060,2014,9,40,30,8,5,1,1,0,0,1,1,0,1412064343
T100,20000434,2014,9,40,30,8,12,1,1,0,0,1,1,0,1412064778
T101,20000112,2014,9,40,30,8,24,1,1,0,0,1,1,0,1412065446
T102,20000286,2014,9,40,30,8,15,1,0,0,1,1,1,0,1412064908
T103,20000036,2014,9,40,30,8,13,1,0,1,0,1,1,0,1412064784
T104,20000086,2014,9,40,30,8,16,1,0,1,0,1,1,0,1412064987
T107,20000574,2014,9,40,30,8,18,1,0,0,1,1,1,0,1412065118
T109,20000331,2014,9,40,30,8,23,1,0,1,0,1,1,0,1412065419
T110,20000026,2014,9,40,30,8,24,1,0,1,0,1,1,0,1412065469
T111,20000518,2014,9,40,30,8,26,1,1,0,0,1,1,0,1412065567
T112,20000541,2014,9,40,30,8,22,1,0,1,0,1,1,0,1412065366
T113,20000400,2014,9,40,30,8,1,1,0,1,0,1,1,0,1412064094
T114,20000682,2014,9,40,30,8,27,1,0,1,0,1,1,0,1412065648
T115,20000039,2014,9,40,30,8,22,1,1,0,0,1,1,0,1412065352
T116,20000597,2014,9,40,30,8,22,1,1,0,0,1,1,0,1412065329
T117,20000230,2014,9,40,30,8,21,1,1,0,0,1,1,0,1412065271
T118,20000206,2014,9,40,30,8,25,1,0,1,0,1,1,0,1412065507
T119,20000126,2014,9,40,30,8,23,1,1,0,0,1,1,0,1412065389
T120,20000296,2014,9,40,30,8,22,1,1,0,0,1,1,0,1412065379
T121,20000049,2014,9,40,30,8,24,1,0,0,1,1,1,0,1412065454
T122,20000383,2014,9,40,30,8,11,1,0,1,0,1,1,0,1412064713
T123,20000156,2014,9,40,30,7,46,1,0,1,0,1,1,0,1412063197
T124,20000198,2014,9,40,30,8,16,1,0,0,1,1,1,0,1412064991
T125,20000596,2014,9,40,30,8,27,1,0,1,0,1,1,0,1412065635
T126,20000248,2014,9,40,30,8,21,1,1,0,0,1,1,0,1412065266
T127,20000591,2014,9,40,30,8,27,1,1,0,0,1,1,0,1412065621
T128,20000260,2014,9,40,30,8,29,1,1,0,0,1,1,0,1412065784
T129,20000005,2014,9,40,30,8,24,1,1,0,0,1,1,0,1412065476
T130,20000686,2014,9,40,30,8,13,1,0,1,0,1,1,0,1412064808
T131,20000384,2014,9,40,30,6,44,1,0,0,1,1,1,0,1412059472
T132,20000272,2014,9,40,30,8,20,1,0,0,1,1,1,0,1412065252
T133,20000314,2014,9,40,30,8,21,1,1,0,0,1,1,0,1412065285
T134,20000625,2014,9,40,30,8,14,1,0,0,1,1,1,0,1412064883
T135,20000589,2014,9,40,30,8,21,1,0,1,0,1,1,0,1412065261
T136,20000476,2014,9,40,30,8,25,1,0,1,0,1,1,0,1412065555
T137,20000523,2014,9,40,30,8,16,1,0,1,0,1,1,0,1412065013
T138,20000503,2014,9,40,30,7,2,1,0,0,1,1,1,0,1412060523
T139,20000473,2014,9,40,30,8,26,1,0,0,1,1,1,0,1412065618
T140,20000092,2014,9,40,30,8,26,1,0,0,1,1,1,0,1412065590
T141,20000085,2014,9,40,30,8,18,1,0,0,1,1,1,0,1412065117
T142,20000159,2014,9,40,30,8,19,1,0,1,0,1,1,0,1412065155
T143,20000410,2014,9,40,30,8,18,1,0,1,0,1,1,0,1412065092
T144,20000123,2014,9,40,30,8,20,1,1,0,0,1,1,0,1412065220
T145,20000040,2014,9,40,30,8,18,1,1,0,0,1,1,0,1412065112
T146,20000502,2014,9,40,30,8,23,1,0,0,1,1,1,0,1412065394
T147,20000144,2014,9,40,30,8,24,1,0,1,0,1,1,0,1412065486
T148,20000053,2014,9,40,30,8,7,1,1,0,0,1,1,0,1412064430
T149,20000510,2014,9,40,30,7,50,1,0,1,0,1,1,0,1412063454
T151,20000171,2014,9,40,30,8,23,1,1,0,0,1,1,0,1412065395
T152,20000207,2014,9,40,30,8,24,1,1,0,0,1,1,0,1412065494
T153,20000099,2014,9,40,30,8,25,1,0,1,0,1,1,0,1412065555
T154,20000440,2014,9,40,30,8,14,1,0,0,1,1,1,0,1412064845
T155,20000158,2014,9,40,30,8,19,1,0,1,0,1,1,0,1412065195
T156,20000543,2014,9,40,30,8,9,1,0,1,0,1,1,0,1412064580
T157,20000017,2014,9,40,30,8,26,1,1,0,0,1,1,0,1412065619
T158,20000698,2014,10,41,6,17,42,0,1,0,0,1,1,0,1412617360
T159,20000391,2014,10,41,6,17,39,0,0,0,1,1,1,0,1412617161
T160,20000657,2014,10,41,6,17,42,0,1,0,0,1,1,0,1412617328
T161,20000429,2014,10,41,6,17,32,0,0,0,1,1,1,0,1412616773
T162,20000249,2014,10,41,6,17,40,0,0,1,0,1,1,0,1412617225
T163,20000171,2014,10,41,6,17,39,0,0,1,0,1,1,0,1412617178
T164,20000410,2014,10,41,6,17,43,0,1,0,0,1,1,0,1412617430
T166,20000407,2014,10,41,6,17,33,0,0,1,0,1,1,0,1412616796
T167,20000109,2014,10,41,6,17,38,0,0,1,0,1,1,0,1412617121
T168,20000180,2014,10,41,6,17,36,0,1,0,0,1,1,0,1412617017
T169,20000649,2014,10,41,6,17,33,0,0,0,1,1,1,0,1412616811
T170,20000128,2014,10,41,6,17,38,0,1,0,0,1,1,0,1412617130
T171,20000685,2014,10,41,6,17,33,0,0,1,0,1,1,0,1412616790
T172,20000054,2014,10,41,6,17,40,0,1,0,0,1,1,0,1412617212
T173,20000118,2014,10,41,6,17,30,0,0,1,0,1,1,0,1412616610
T174,20000624,2014,10,41,6,16,12,0,0,0,1,1,1,0,1412611978
T175,20000453,2014,10,41,6,17,40,0,1,0,0,1,1,0,1412617220
T176,20000488,2014,10,41,6,17,44,0,0,0,1,1,1,0,1412617459
T177,20000163,2014,10,41,6,17,43,0,0,1,0,1,1,0,1412617383
T178,20000261,2014,10,41,6,17,27,0,0,1,0,1,1,0,1412616424
T179,20000452,2014,10,41,6,17,27,0,0,1,0,1,1,0,1412616445
T180,20000403,2014,10,41,6,17,40,0,0,0,1,1,1,0,1412617253
T181,20000235,2014,10,41,6,17,17,0,0,1,0,1,1,0,1412615860
T182,20000464,2014,10,41,6,17,44,0,0,1,0,1,1,0,1412617473
T183,20000276,2014,10,41,6,17,44,0,0,0,1,1,1,0,1412617464
T184,20000250,2014,10,41,6,17,24,0,0,1,0,1,1,0,1412616274
T185,20000166,2014,10,41,6,17,43,0,1,0,0,1,1,0,1412617397
T186,20000377,2014,10,41,6,17,30,0,1,0,0,1,1,0,1412616648
T187,20000146,2014,10,41,6,17,38,0,1,0,0,1,1,0,1412617132
T188,20000436,2014,10,41,6,17,30,0,0,1,0,1,1,0,1412616656
T189,20000483,2014,10,41,6,17,43,0,0,1,0,1,1,0,1412617407
T190,20000653,2014,10,41,6,17,37,0,1,0,0,1,1,0,1412617058
T191,20000352,2014,10,41,6,17,43,0,0,0,1,1,1,0,1412617390
T192,20000295,2014,10,41,6,17,36,0,0,1,0,1,1,0,1412616996
T193,20000121,2014,10,41,6,17,44,0,0,0,1,1,1,0,1412617473
T194,20000349,2014,10,41,6,17,38,0,1,0,0,1,1,0,1412617104
T195,20000340,2014,10,41,6,17,43,0,0,1,0,1,1,0,1412617425
T196,20000129,2014,10,41,6,17,41,0,0,1,0,1,1,0,1412617312
T197,20000206,2014,10,41,6,16,48,0,0,0,1,1,1,0,1412614136
T198,20000347,2014,10,41,6,17,39,0,1,0,0,1,1,0,1412617188
T199,20000057,2014,10,41,6,17,33,0,0,1,0,1,1,0,1412616826
T200,20000502,2014,10,41,6,17,41,0,1,0,0,1,1,0,1412617302
T201,20000596,2014,10,41,6,17,37,0,0,0,1,1,1,0,1412617053
T202,20000574,2014,10,41,6,17,33,0,0,1,0,1,1,0,1412616812
T203,20000222,2014,10,41,6,17,42,0,0,0,1,1,1,0,1412617323
T204,20000338,2014,10,41,6,17,44,0,0,0,1,1,1,0,1412617440
T205,20000381,2014,10,41,6,17,36,0,0,1,0,1,1,0,1412617001
T206,20000213,2014,10,41,6,16,23,0,0,0,1,1,1,0,1412612597
T207,20000687,2014,10,41,6,17,25,0,0,1,0,1,1,0,1412616304
T208,20000356,2014,10,41,6,15,12,0,0,0,1,1,1,0,1412608325
T209,20000312,2014,10,41,6,17,42,0,1,0,0,1,1,0,1412617369
T210,20000591,2014,10,41,6,17,40,0,0,1,0,1,1,0,1412617227
T211,20000361,2014,10,41,6,17,18,0,0,0,1,1,1,0,1412615890
T212,20000446,2014,10,41,6,17,41,0,0,0,1,1,1,0,1412617313
T213,20000243,2014,10,41,6,17,36,0,0,1,0,1,1,0,1412616988
T214,20000456,2014,10,41,6,17,34,0,0,1,0,1,1,0,1412616861
T215,20000450,2014,10,41,6,17,43,0,1,0,0,1,1,0,1412617421
T216,20000632,2014,10,41,6,17,42,0,1,0,0,1,1,0,1412617363
T217,20000387,2014,10,41,6,17,17,0,0,0,1,1,1,0,1412615838
T218,20000421,2014,10,41,6,17,23,0,0,1,0,1,1,0,1412616212
T219,20000562,2014,10,41,6,17,41,0,0,1,0,1,1,0,1412617300
T220,20000455,2014,10,41,6,17,4,0,0,0,1,1,1,0,1412615061
T221,20000362,2014,10,41,6,17,40,0,0,1,0,1,1,0,1412617202
T222,20000311,2014,10,41,6,17,31,0,0,1,0,1,1,0,1412616701
T223,20000067,2014,10,41,6,17,16,0,1,0,0,1,1,0,1412615786
T224,20000363,2014,10,41,6,16,45,0,0,1,0,1,1,0,1412613945
T225,20000612,2014,10,41,6,17,21,0,0,1,0,1,1,0,1412616098
T226,20000154,2014,10,41,6,17,39,0,0,1,0,1,1,0,1412617191
T227,20000334,2014,10,41,6,17,38,0,0,1,0,1,1,0,1412617117
T228,20000540,2014,10,41,6,16,51,0,0,0,1,1,1,0,1412614265
T229,20000539,2014,10,41,6,17,30,0,0,0,1,1,1,0,1412616642
T230,20000434,2014,10,41,6,16,14,0,1,0,0,1,1,0,1412612095
T231,20000144,2014,10,41,6,17,31,0,0,0,1,1,1,0,1412616687
T232,20000900,2014,10,41,6,17,44,0,0,1,0,1,1,0,1412617453
T233,20000167,2014,10,41,6,17,37,0,0,1,0,1,1,0,1412617036
T234,20000668,2014,10,41,6,17,40,0,0,0,1,1,1,0,1412617234
T235,20000454,2014,10,41,6,17,39,0,1,0,0,1,1,0,1412617182
T236,20000252,2014,11,44,1,3,59,5,0,1,0,1,1,0,1414814368
T237,20000304,2014,11,44,1,3,54,5,0,0,1,1,1,0,1414814046
T238,20000554,2014,11,44,1,3,51,5,0,1,0,1,1,0,1414813869
T239,20000112,2014,11,44,1,3,50,5,0,0,1,1,1,0,1414813836
T240,20000185,2014,11,44,1,3,49,5,0,0,1,1,1,0,1414813786
T241,20000303,2014,11,44,1,3,50,5,0,0,1,1,1,0,1414813807
T242,20000081,2014,11,44,1,3,54,5,0,0,1,1,1,0,1414814091
T243,20000424,2014,11,44,1,3,53,5,0,0,1,1,1,0,1414813993
T244,20000665,2014,11,44,1,3,57,5,0,0,1,1,1,0,1414814238
T245,20000026,2014,11,44,1,3,50,5,0,0,1,1,1,0,1414813844
T246,20000012,2014,11,44,1,3,43,5,0,0,1,1,1,0,1414813429
T247,20000603,2014,11,44,1,3,52,5,0,1,0,1,1,0,1414813943
T248,20000525,2014,11,44,1,3,55,5,0,0,1,1,1,0,1414814115
T249,20000108,2014,11,44,1,3,56,5,0,0,1,1,1,0,1414814185
T250,20000492,2014,11,44,1,3,54,5,0,1,0,1,1,0,1414814069
T251,20000664,2014,11,44,1,3,58,5,1,0,0,1,1,0,1414814321
T252,20000503,2014,11,44,1,3,53,5,0,0,1,1,1,0,1414813991
T253,20000256,2014,11,44,1,3,38,5,0,0,1,1,1,0,1414813121
T254,20000285,2014,11,44,1,3,58,5,0,1,0,1,1,0,1414814328
T255,20000245,2014,11,44,1,3,39,5,0,0,1,1,1,0,1414813172
T256,20000434,2014,11,44,1,3,52,5,0,0,1,1,1,0,1414813960
T257,20000406,2014,11,44,1,3,51,5,0,1,0,1,1,0,1414813904
T258,20000239,2014,11,44,1,3,58,5,0,1,0,1,1,0,1414814326
T259,20000426,2014,11,44,1,3,59,5,0,0,1,1,1,0,1414814340
T260,20000190,2014,11,44,1,3,48,5,1,0,0,1,1,0,1414813685
T261,20000192,2014,11,44,1,3,44,5,0,0,1,1,1,0,1414813496
T262,20000361,2014,11,44,1,3,51,5,0,1,0,1,1,0,1414813898
T263,20000129,2014,11,44,1,3,56,5,0,0,1,1,1,0,1414814186
T264,20000548,2014,11,44,1,3,58,5,0,0,1,1,1,0,1414814296
T265,20000263,2014,11,44,1,3,50,5,0,0,1,1,1,0,1414813834
T266,20000333,2014,11,44,1,3,58,5,0,0,1,1,1,0,1414814337
T267,20000197,2014,11,44,1,3,56,5,0,0,1,1,1,0,1414814176
T268,20000565,2014,11,44,1,3,55,5,0,0,1,1,1,0,1414814117
T269,20000307,2014,11,44,1,3,55,5,0,0,1,1,1,0,1414814136
T270,20000678,2014,11,44,1,3,50,5,0,0,1,1,1,0,1414813835
T271,20000351,2014,11,44,1,3,48,5,0,0,1,1,1,0,1414813723
T272,20000560,2014,11,44,1,3,58,5,0,0,1,1,1,0,1414814289
T273,20000431,2014,11,44,1,3,55,5,0,1,0,1,1,0,1414814121
T274,20000686,2014,11,44,1,3,57,5,0,0,1,1,1,0,1414814236
T275,20000079,2014,11,44,1,3,56,5,0,0,1,1,1,0,1414814209
T276,20000005,2014,11,44,1,3,51,5,0,0,1,1,1,0,1414813881
T277,20000395,2014,11,44,1,3,42,5,0,0,1,1,1,0,1414813333
T278,20000529,2014,11,44,1,3,54,5,0,0,1,1,1,0,1414814043
T279,20000015,2014,11,44,1,3,59,5,0,0,1,1,1,0,1414814366
T280,20000626,2014,11,44,1,3,44,5,0,0,1,1,1,0,1414813465
T281,20000476,2014,11,44,1,3,55,5,0,1,0,1,1,0,1414814108
T282,20000136,2014,11,44,1,3,54,5,0,0,1,1,1,0,1414814088
T283,20000577,2014,11,44,1,3,56,5,0,1,0,1,1,0,1414814209
T284,20000517,2014,11,44,1,3,58,5,0,1,0,1,1,0,1414814293
T285,20000009,2014,11,44,1,3,58,5,0,0,1,1,1,0,1414814310
T286,20000105,2014,11,44,1,3,54,5,0,0,1,1,1,0,1414814070
T287,20000499,2014,11,44,1,3,59,5,0,0,1,1,1,0,1414814359
T288,20000334,2014,11,44,1,2,40,5,0,0,1,1,1,0,1414809617
T289,20000463,2014,11,44,1,3,59,5,0,0,1,1,1,0,1414814358
T290,20000118,2014,11,44,1,3,54,5,0,0,1,1,1,0,1414814061
T291,20000513,2014,11,44,1,3,56,5,0,1,0,1,1,0,1414814191
T292,20000460,2014,11,44,1,3,51,5,0,0,1,1,1,0,1414813865
T293,20000342,2014,11,44,1,3,42,5,1,0,0,1,1,0,1414813346
T294,20000494,2014,11,44,1,3,54,5,0,0,1,1,1,0,1414814084
T295,20000250,2014,11,44,1,3,47,5,0,0,1,1,1,0,1414813672
T296,20000021,2014,11,44,1,3,54,5,0,0,1,1,1,0,1414814057
T297,20000148,2014,11,44,1,3,55,5,0,0,1,1,1,0,1414814122
T298,20000158,2014,12,51,21,14,26,6,0,1,0,1,1,0,1419171969
T299,20000693,2014,12,51,21,12,47,6,0,0,1,1,1,0,1419166062
T300,20000051,2014,12,51,21,14,16,6,1,0,0,1,1,0,1419171407
T301,20000100,2014,12,51,21,14,11,6,0,0,1,1,1,0,1419171112
T302,20000450,2014,12,51,21,14,22,6,1,0,0,1,1,0,1419171742
T303,20000067,2014,12,51,21,14,29,6,0,1,0,1,1,0,1419172159
T304,20000612,2014,12,51,21,14,27,6,1,0,0,1,1,0,1419172057
T305,20000320,2014,12,51,21,14,22,6,0,1,0,1,1,0,1419171753
T306,20000047,2014,12,51,21,14,26,6,0,0,1,1,1,0,1419171985
T307,20000081,2014,12,51,21,14,11,6,0,0,1,1,1,0,1419171073
T308,20000542,2014,12,51,21,11,41,6,0,0,1,1,1,0,1419162114
T309,20000109,2014,12,51,21,13,18,6,0,0,1,1,1,0,1419167924
T310,20000548,2014,12,51,21,14,26,6,1,0,0,1,1,0,1419171991
T311,20000247,2014,12,51,21,11,39,6,0,0,1,1,1,0,1419161986
T312,20000565,2014,12,51,21,14,23,6,1,0,0,1,1,0,1419171813
T313,20000383,2014,12,51,21,14,23,6,1,0,0,1,1,0,1419171819
T314,20000345,2014,12,51,21,14,25,6,1,0,0,1,1,0,1419171903
T315,20000486,2014,12,51,21,14,24,6,1,0,0,1,1,0,1419171879
T316,20000496,2014,12,51,21,14,24,6,0,0,1,1,1,0,1419171893
T317,20000436,2014,12,51,21,14,23,6,1,0,0,1,1,0,1419171826
T318,20000325,2014,12,51,21,14,25,6,0,1,0,1,1,0,1419171921
T319,20000281,2014,12,51,21,14,11,6,1,0,0,1,1,0,1419171095
T320,20000549,2014,12,51,21,12,17,6,1,0,0,1,1,0,1419164220
T321,20000393,2014,12,51,21,13,23,6,0,0,1,1,1,0,1419168199
T322,20000391,2014,12,51,21,14,13,6,0,0,1,1,1,0,1419171201
T323,20000430,2014,12,51,21,14,18,6,1,0,0,1,1,0,1419171485
T324,20000020,2014,12,51,21,14,6,6,0,1,0,1,1,0,1419170802
T325,20000207,2014,12,51,21,14,28,6,0,0,1,1,1,0,1419172121
T326,20000667,2014,12,51,21,14,26,6,1,0,0,1,1,0,1419171980
T327,20000255,2014,12,51,21,14,17,6,1,0,0,1,1,0,1419171420
